"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 10, 2016","343.50","341.50","346.50","340.25","261.28K","0.81%"
"Nov 11, 2016","340.25","343.25","345.00","339.00","212.98K","-0.95%"
"Nov 14, 2016","337.25","340.50","341.00","335.50","181.71K","-0.88%"
"Nov 15, 2016","341.50","337.00","342.25","335.75","190.52K","1.26%"
"Nov 16, 2016","338.50","341.50","343.50","338.50","145.24K","-0.88%"
"Nov 17, 2016","342.00","339.00","343.50","338.25","192.49K","1.03%"
"Nov 18, 2016","345.50","342.00","346.75","340.50","171.45K","1.02%"
"Nov 21, 2016","349.75","345.25","350.00","344.75","169.05K","1.23%"
"Nov 22, 2016","351.00","349.50","351.75","346.00","197.45K","0.36%"
"Nov 23, 2016","350.75","350.25","351.00","346.50","190.75K","-0.07%"
"Nov 25, 2016","349.25","349.75","350.75","348.50","176.20K","-0.43%"
"Nov 28, 2016","348.50","349.25","353.00","346.75","208.95K","-0.21%"
"Nov 29, 2016","336.75","348.00","348.25","335.50","190.80K","-3.37%"
"Nov 30, 2016","336.75","337.25","341.75","336.00","35.07K","0.00%"
"Dec 01, 2016","331.75","337.00","338.25","331.00","8.93K","-1.48%"
"Dec 02, 2016","337.50","332.75","338.00","332.75","8.16K","1.73%"
"Dec 05, 2016","349.50","337.50","350.00","337.50","4.15K","3.56%"
"Dec 06, 2016","351.00","348.25","354.00","348.25","2.55K","0.43%"
"Dec 07, 2016","350.50","350.25","351.00","347.25","2.35K","-0.14%"
"Dec 08, 2016","346.50","350.25","352.75","344.25","1.94K","-1.14%"
"Dec 09, 2016","352.50","349.00","352.50","344.50","1.72K","1.73%"
"Dec 12, 2016","354.50","352.25","355.00","349.75","2.00K","0.57%"
"Dec 13, 2016","356.25","355.25","359.00","353.50","1.37K","0.49%"
"Dec 14, 2016","351.75","356.75","357.00","353.50","0.52K","-1.26%"
"Dec 15, 2016","356.50","361.50","363.00","356.25","136.20K","1.35%"
"Dec 16, 2016","356.25","356.00","359.00","353.50","113.01K","-0.07%"
"Dec 19, 2016","353.25","356.00","356.75","351.50","93.94K","-0.84%"
"Dec 20, 2016","350.25","353.25","353.75","349.25","103.80K","-0.85%"
"Dec 21, 2016","347.25","350.00","351.25","346.75","105.21K","-0.86%"
"Dec 22, 2016","347.25","347.25","348.00","346.00","97.05K","0.00%"
"Dec 23, 2016","345.75","347.00","347.75","345.50","79.91K","-0.43%"
"Dec 27, 2016","355.00","346.50","356.00","346.25","132.72K","2.68%"
"Dec 28, 2016","348.25","354.25","354.75","347.25","122.29K","-1.90%"
"Dec 29, 2016","349.75","348.25","351.00","347.50","92.60K","0.43%"
"Dec 30, 2016","352.00","349.50","353.00","347.75","112.01K","0.64%"
"Jan 03, 2017","355.75","352.00","358.50","351.50","174.70K","1.07%"
"Jan 04, 2017","359.75","355.00","360.00","354.75","171.29K","1.12%"
"Jan 05, 2017","361.25","359.50","362.75","358.50","194.54K","0.42%"
"Jan 06, 2017","358.00","360.75","362.50","356.75","166.34K","-0.90%"
"Jan 09, 2017","360.00","359.00","360.75","355.25","185.76K","0.56%"
"Jan 10, 2017","358.25","359.25","359.50","357.25","134.08K","-0.49%"
"Jan 11, 2017","357.25","357.75","358.25","352.00","209.46K","-0.28%"
"Jan 12, 2017","358.25","357.00","360.00","353.00","256.25K","0.28%"
"Jan 13, 2017","358.50","357.50","359.50","355.25","168.02K","0.07%"
"Jan 17, 2017","365.50","359.00","366.50","358.50","317.61K","1.95%"
"Jan 18, 2017","365.00","364.50","367.75","362.75","210.57K","-0.14%"
"Jan 19, 2017","366.25","364.00","367.50","362.75","167.43K","0.34%"
"Jan 20, 2017","369.75","366.00","370.00","365.00","199.86K","0.96%"
"Jan 23, 2017","369.50","369.50","370.00","367.50","145.75K","-0.07%"
"Jan 24, 2017","363.25","369.25","371.00","362.25","198.15K","-1.69%"
"Jan 25, 2017","366.25","363.25","366.75","361.00","144.57K","0.83%"
"Jan 26, 2017","363.75","366.00","366.75","362.00","115.94K","-0.68%"
